age,gender,total_sleep_hours,sleep_quality,exercise_mins_day,caffeine_intake_mg,screen_time_before_bed_mins,work_hours_hrs_day,productivity_score,mood_score,stress_level,exercise_cat
38,Male,5.43,4,64,119,129,5.008928565957066,9,2,9,high
28,Male,7.8,3,37,66,40,9.212631423842016,8,6,8,medium
36,Female,6.58,10,76,111,92,11.369985186621555,6,5,2,high
57,Male,9.42,8,66,268,18,6.362255763863598,1,4,2,high
30,Other,7.72,9,19,260,134,10.32823901609401,2,10,5,low
19,Male,8.73,8,47,220,35,10.28693485364708,9,2,1,medium
34,Other,7.67,5,48,63,33,5.285724679132045,10,10,6,medium
34,Other,8.88,10,63,244,33,6.9278952080224565,7,6,1,high
36,Male,6.91,7,40,11,78,6.237291256119889,4,4,7,medium
51,Other,8.98,3,84,281,163,4.297402304397168,1,5,6,high
22,Female,6.06,5,65,58,116,10.16718723455042,2,10,9,high
42,Other,7.1,6,44,90,167,10.228366571381512,9,3,2,medium
23,Female,8.94,5,17,142,153,5.507158139203938,7,7,2,low
28,Male,9.38,5,77,148,110,6.7757366049958705,2,2,4,high
45,Female,9.5,9,73,279,64,4.214164685625023,9,4,2,high
48,Other,4.97,1,43,254,62,9.462236001553045,6,3,9,medium
54,Female,6.73,9,3,88,176,11.421858238264033,2,8,5,low
19,Other,4.66,2,28,65,161,11.441124427100764,6,7,6,low
44,Male,5.53,9,26,97,18,11.730029657920715,4,3,10,low
27,Male,8.81,10,18,63,123,6.541844372941118,9,4,9,low
56,Female,6.37,5,85,230,49,4.357682196439172,6,2,2,high
47,Female,7.41,7,0,18,45,4.81257714915729,8,5,1,low
50,Other,4.76,5,31,155,155,8.118138992603544,4,9,5,medium
43,Other,9.27,7,55,147,165,10.803623342270324,10,3,7,medium
28,Other,7.46,8,66,129,101,9.377189495459255,8,2,4,high
19,Male,9.03,7,37,171,66,7.376042006765784,7,1,9,medium
28,Other,4.76,3,37,128,135,7.779682630831581,1,3,1,medium
48,Male,6.05,8,44,242,58,11.921321698043243,1,4,8,medium
56,Male,8.77,4,85,134,61,7.977963841516506,8,8,8,high
41,Male,6.75,10,4,138,156,4.835379569271265,6,4,2,low
19,Other,7.91,5,73,175,72,8.373895583870944,8,10,7,high
24,Male,4.58,10,41,186,171,7.55035872783783,7,9,5,medium
24,Other,9.13,2,43,85,45,5.028367660836084,9,3,10,medium
34,Female,7.06,5,49,22,121,8.585783660449948,8,10,9,medium
31,Female,6.98,1,4,286,36,5.0330912325306745,4,5,1,low
40,Other,5.73,9,46,103,157,7.303936481543101,4,9,1,medium
25,Other,6.07,2,57,176,31,10.896149112085332,6,4,4,medium
48,Male,5.44,9,87,216,60,8.467759725840553,3,1,10,high
21,Other,5.32,2,42,278,60,8.39618198018207,1,7,7,medium
30,Other,5.88,3,0,42,41,8.598045525243235,1,3,10,low
50,Other,5.21,9,5,30,39,4.214783475325331,7,1,4,low
20,Male,9.19,1,71,31,178,5.659189742633092,3,3,6,high
35,Female,6.64,1,86,88,154,9.932870671546706,1,10,9,high
32,Male,7.41,2,65,289,100,4.093012810282933,6,9,10,high
59,Other,6.62,9,15,286,117,10.539722756087688,4,10,3,low
49,Female,7.69,5,63,186,109,5.498552741691001,7,4,1,high
18,Female,5.01,3,87,120,2,5.025080322004192,3,1,2,high
22,Female,5.18,3,56,164,74,11.88007798263557,5,7,9,medium
50,Other,6.54,5,62,220,9,11.078424647681564,7,8,5,high
29,Other,7.35,1,37,108,52,5.608625502350975,10,8,6,medium
45,Other,5.77,6,16,264,77,7.521043346190405,1,9,4,low
50,Other,5.11,2,46,220,49,8.948775692008812,10,8,3,medium
36,Female,8.74,6,44,246,115,4.868222324463107,9,5,6,medium
38,Male,5.37,2,14,137,47,9.879971506356586,6,10,7,low
55,Male,5.42,9,15,81,76,5.2058592583717624,2,1,5,low
30,Other,7.16,1,79,234,30,10.027104919358688,1,5,8,high
36,Male,6.31,8,22,32,19,11.468015013619478,8,4,1,low
23,Other,4.63,3,85,145,114,5.562135481528432,6,1,10,high
25,Other,6.4,3,6,46,135,4.9543966448145,3,5,6,low
20,Male,5.56,8,11,117,58,6.152111449955327,2,7,8,low
40,Other,8.5,2,20,110,128,9.551896558554557,9,10,9,low
24,Other,5.25,6,68,132,165,8.684112339848637,10,7,1,high
45,Male,6.94,3,41,185,56,8.594957793912112,6,9,5,medium
59,Female,4.63,10,24,72,142,11.47196293341339,6,4,1,low
25,Male,7.86,1,6,254,21,10.77767590058711,5,9,1,low
24,Female,8.96,3,6,172,87,5.454615969929212,7,1,6,low
19,Other,5.23,4,8,210,145,8.503852036122126,8,1,8,low
55,Male,5.05,1,4,91,87,8.41363802076188,7,8,3,low
18,Male,8,2,67,130,133,4.125559482739572,2,3,10,high
31,Male,7.51,4,23,181,165,6.259990694778724,3,6,10,low
19,Male,6.36,5,46,99,22,11.835165842129916,7,10,9,medium
39,Male,5.93,1,71,97,89,4.945905405810106,6,6,6,high
23,Female,5.62,9,74,293,82,4.4806812577818516,10,8,9,high
41,Female,8.28,9,82,270,97,10.885828475104676,3,1,4,high
34,Female,6.86,9,9,292,175,5.056787213829922,8,7,4,low
43,Other,7.1,5,55,262,54,4.753779029980059,8,6,9,medium
47,Other,6.79,7,35,275,48,4.1456424248255885,7,1,10,medium
52,Other,5.27,1,44,87,142,5.175384216804851,6,7,10,medium
21,Other,9.13,9,54,232,171,11.155024790095991,6,3,3,medium
34,Male,6.71,3,77,186,38,8.315474843903488,3,2,10,high
39,Female,7.38,5,65,181,136,11.80714670316719,4,10,8,high
56,Other,9.24,6,72,199,57,9.411175891949917,7,10,9,high
42,Male,8.59,8,75,251,137,5.213335682860962,9,7,8,high
28,Female,8.15,7,6,218,76,11.18623766035036,10,9,6,low
18,Male,7.03,8,57,296,114,4.221519094070203,9,8,2,medium
32,Male,8.02,3,22,174,166,6.993368748732641,1,3,10,low
44,Other,4.92,2,12,79,42,5.481786646647503,10,7,1,low
35,Female,4.6,4,18,99,115,11.023532511996848,8,4,5,low
53,Other,8.93,8,23,181,118,5.219255360303051,2,5,7,low
32,Other,7.39,1,7,217,77,5.523601244860151,7,3,8,low
51,Other,7.98,2,70,174,85,4.73656036567122,3,8,8,high
29,Male,4.7,9,48,111,127,10.852675553819662,6,9,3,medium
48,Male,8.87,8,37,185,31,4.763701429598627,3,4,5,medium
36,Other,5.53,10,87,175,134,10.516063745044251,1,9,3,high
49,Other,8.31,3,23,39,51,10.18713779703018,4,1,1,low
28,Male,5.11,7,27,237,79,7.257320496712962,9,4,7,low
54,Female,7.28,9,14,173,89,7.044607531024856,3,6,8,low
19,Female,6.24,9,47,210,30,6.850373724414854,9,4,2,medium
59,Male,9.43,10,55,274,173,5.150741391582869,1,5,1,medium
40,Other,6.36,2,4,81,124,11.999141333640395,8,2,9,low
35,Other,8.76,5,21,82,162,4.396679764192018,6,10,3,low
19,Other,6.59,5,63,223,110,7.295186380879493,3,5,9,high
42,Female,5.43,6,18,260,153,11.583117273169444,4,7,2,low
48,Male,4.66,8,64,6,135,11.459603368645146,9,1,6,high
19,Female,5.27,8,4,115,149,9.819485899323851,6,9,5,low
20,Male,8.01,5,84,272,47,9.12511137056098,1,1,2,high
54,Female,6.15,7,13,253,47,10.772650207080355,2,3,5,low
23,Other,5.13,9,62,265,137,7.256735649264158,6,7,6,high
41,Male,8.29,10,63,221,139,9.438432567673054,9,8,9,high
33,Male,6.21,6,7,273,76,5.621505620626861,7,2,5,low
34,Other,5.4,6,56,131,138,11.958029504495771,10,7,3,medium
37,Female,6.58,8,29,98,83,10.883919542373189,9,1,7,low
24,Female,7.89,4,51,139,140,10.221140557421514,3,3,2,medium
57,Male,8.9,7,87,140,84,8.821063370285078,7,7,2,high
45,Female,4.59,2,50,111,137,11.603534420386756,5,5,7,medium
33,Female,5.59,9,21,295,36,4.232811610583813,4,8,10,low
37,Male,6.52,1,79,261,82,7.121567737999219,2,10,4,high
59,Female,5.43,2,51,294,105,9.733708876815411,8,10,7,medium
53,Other,9.29,3,61,203,110,8.998365658670899,4,7,7,high
49,Female,7.42,9,68,64,61,6.040923146704006,10,3,6,high
28,Male,9.44,1,31,97,4,8.907942174815837,10,2,9,medium
42,Female,7.17,2,33,159,116,5.284462486105362,2,9,7,medium
49,Other,5.01,2,48,236,15,10.447245176151217,10,4,8,medium
57,Other,6.96,8,43,127,125,10.615956879240002,10,9,5,medium
44,Female,6.27,2,51,102,100,10.947722729698947,10,7,9,medium
45,Female,6.9,4,76,164,96,7.077693198921892,8,3,2,high
39,Male,4.94,5,58,264,76,9.71558795151516,4,7,7,medium
26,Other,9.05,9,68,133,114,11.522787021361534,2,8,1,high
31,Other,5.7,8,12,166,43,7.573772447918989,2,3,4,low
29,Male,6.47,4,25,149,119,6.3751346351954306,1,1,2,low
24,Other,8.05,10,66,186,2,5.793378213975214,1,4,7,high
38,Male,7.01,5,16,77,40,10.899340322158146,1,3,8,low
46,Female,4.71,2,48,70,157,4.992775008877459,7,8,1,medium
45,Other,5.5,4,19,119,96,10.550663193712944,9,5,4,low
32,Female,6.69,3,51,126,31,9.47546151665279,8,1,3,medium
46,Female,4.85,6,0,42,54,9.723873438195117,2,2,1,low
47,Male,5.79,7,70,113,28,6.606683516033163,4,1,5,high
30,Female,9.11,8,86,77,67,6.125427724022698,10,6,6,high
31,Female,4.86,2,53,276,52,6.934947154289835,4,3,7,medium
33,Female,4.75,5,57,166,163,4.307431349156917,4,7,5,medium
38,Female,8.95,3,75,77,177,8.025637360599712,8,8,3,high
23,Other,7.86,10,20,192,110,10.044890654593376,8,10,2,low
55,Male,6.78,6,62,157,110,7.62180341303952,5,8,7,high
42,Male,7.24,1,45,0,165,11.977385023288935,6,3,10,medium
51,Other,8.23,4,61,86,77,8.375966802708163,3,6,9,high
23,Other,8.74,1,74,240,22,11.240212779545589,8,1,2,high
23,Male,7.77,10,68,264,68,11.580183844409904,3,4,10,high
41,Other,6.57,2,54,138,16,4.071302273373991,3,6,3,medium
18,Other,6.98,7,20,162,99,5.378895327083,4,3,7,low
18,Female,5.26,8,68,91,17,10.415712040180566,1,10,9,high
49,Female,7.11,4,33,87,145,4.614795694889874,5,9,9,medium
41,Female,7.27,4,69,17,55,6.924230375258233,6,6,10,high
41,Other,9.28,5,63,198,85,7.726973831261403,7,9,3,high
43,Other,5.14,7,35,112,133,7.567391679610742,6,2,1,medium
39,Male,7.85,10,73,264,125,5.41064683014432,10,6,4,high
48,Male,9.25,7,32,199,159,6.133277267105609,8,2,8,medium
30,Female,5.87,10,13,257,107,4.959072572679096,9,8,8,low
29,Female,6.37,5,69,168,78,9.178036090992606,10,3,9,high
34,Male,9.34,8,29,76,79,7.9455641583034335,2,3,3,low
21,Other,8.43,9,35,55,38,6.4412666442983175,7,10,7,medium
22,Other,7.3,9,44,219,18,8.170672685733877,10,9,1,medium
56,Male,9.4,6,56,88,130,10.54487827795334,4,7,6,medium
21,Female,5.46,4,76,72,118,10.108834873303962,3,9,9,high
28,Other,7.13,8,9,30,35,6.114079022797245,4,9,9,low
37,Female,8.65,3,34,42,95,8.427558655581592,4,3,8,medium
52,Female,8.47,5,52,172,178,8.348321901844567,1,7,5,medium
34,Other,4.67,6,52,214,76,10.062770343459768,5,2,2,medium
26,Female,7.84,4,83,132,137,11.49181429366118,9,9,6,high
55,Female,9.27,6,23,197,16,7.256679782523079,4,7,9,low
51,Other,6.47,1,57,45,128,7.21367626730672,7,9,9,medium
21,Male,6.13,4,35,284,179,5.748387692164504,9,4,9,medium
53,Male,6.67,2,1,207,156,8.340425950212891,3,10,1,low
42,Male,6.54,7,35,265,112,5.70509683445164,3,2,1,medium
55,Male,5.88,2,24,32,86,9.59354558385101,2,6,9,low
42,Other,6.19,10,37,162,141,11.908884038556176,7,7,8,medium
18,Female,7.72,8,29,37,96,5.712677236021286,7,10,9,low
40,Male,8.72,1,33,237,178,7.213161417696335,3,2,8,medium
32,Male,6.62,2,66,163,131,9.546900921397684,1,9,9,high
39,Male,7.11,5,39,201,17,11.36216958081231,10,9,3,medium
50,Female,5.48,7,32,185,134,10.84184290675255,6,6,7,medium
38,Other,7.96,3,2,54,142,7.204714858558489,9,10,2,low
47,Male,7.6,8,3,80,48,11.83289735795842,7,9,5,low
34,Other,8,9,51,173,165,8.77720563586518,9,2,6,medium
37,Female,9.47,8,16,185,117,5.33136148417962,7,2,9,low
48,Female,8.01,8,64,103,43,6.3504162305240595,10,7,2,high
54,Male,7.57,10,53,225,50,9.88757761378578,9,2,8,medium
19,Female,6.15,2,62,71,130,7.988690299129697,9,9,4,high
25,Other,4.79,1,56,66,45,11.088406721520608,1,8,2,medium
28,Male,5.03,7,24,238,8,4.277782944749218,1,6,8,low
53,Male,4.53,8,66,109,144,5.043515636266772,2,3,6,high
24,Male,5.53,6,35,63,6,8.278545319545152,6,10,8,medium
52,Male,7.72,2,79,231,69,7.154726344754584,1,3,1,high
29,Other,8.98,7,6,43,132,6.441356016362645,2,5,7,low
45,Female,5.42,7,77,60,165,10.991257910281336,8,5,3,high
41,Male,6.91,2,41,296,160,5.651093937985446,9,6,7,medium
53,Male,7.54,2,13,248,168,4.914357449139068,9,1,2,low
47,Other,7.47,2,55,94,172,9.44782343369411,7,5,7,medium
55,Male,9.4,3,4,201,178,8.251186455970577,4,10,2,low
37,Male,8.88,6,55,184,53,11.820922940190028,5,5,4,medium
59,Male,6.8,4,40,187,17,7.325992420257327,1,3,7,medium
23,Other,6.51,1,4,263,38,5.920307350113198,2,9,5,low
46,Male,6.01,3,21,55,17,7.578947823934977,4,4,2,low
59,Other,6.51,1,8,8,100,10.504695712910555,8,9,2,low
41,Other,5.31,6,31,38,175,8.778912599684407,3,8,8,medium
52,Female,7.91,8,69,233,10,8.694020957968963,8,2,6,high
38,Other,4.86,10,47,53,145,7.459867006981279,1,6,3,medium
25,Male,4.67,4,87,135,115,4.1577578576345005,2,4,10,high
27,Female,8.34,9,62,106,104,6.167579798658208,4,1,3,high
53,Female,6.3,7,9,184,113,6.905027542768576,6,2,2,low
53,Other,6.86,5,8,275,78,4.303335552589067,9,4,9,low
53,Male,6.77,7,53,16,169,8.414320508635965,4,6,6,medium
29,Female,6.77,6,54,78,89,5.811684830064439,8,7,9,medium
31,Male,7.91,10,70,282,78,9.772112514763316,9,7,8,high
40,Female,5.5,9,2,1,114,5.9580732060810435,4,1,10,low
51,Other,5.21,9,21,90,87,4.907684012198152,2,4,1,low
35,Female,4.82,3,77,53,86,4.669307280409465,4,6,8,high
18,Male,8.51,1,86,178,147,5.737316127651538,8,7,9,high
27,Male,6.72,1,1,193,102,6.018332714090566,4,2,3,low
41,Male,6.97,10,50,297,107,8.704892563644819,1,4,4,medium
56,Male,6.21,6,77,139,61,8.27923827351836,10,8,10,high
43,Male,8.93,3,16,122,115,10.000672599589295,1,2,1,low
36,Female,6.93,5,52,87,97,9.442125029828595,8,9,10,medium
53,Female,5.21,1,47,64,32,11.655809517682483,7,4,5,medium
23,Male,5.03,4,64,133,23,4.302073116787206,3,4,8,high
46,Male,9.42,3,54,152,172,4.313058035870875,4,10,10,medium
26,Male,6.35,4,56,104,114,9.937774684193684,3,5,3,medium
49,Female,5.69,6,53,204,109,4.403336045041354,5,1,9,medium
43,Female,4.9,9,89,236,174,7.407784257759307,2,5,5,high
19,Other,5.69,4,25,15,107,9.60585504290612,5,8,6,low
39,Female,8.75,1,36,176,176,9.960580916731908,6,7,6,medium
20,Male,9.32,10,41,223,22,8.581364665528968,3,9,5,medium
53,Male,5.63,2,77,100,63,5.716815961722443,2,6,10,high
36,Female,5.96,6,45,256,95,5.8855093113968096,9,1,6,medium
49,Female,4.54,3,81,177,117,9.220210537061174,3,5,8,high
56,Male,9.36,2,69,219,33,5.200154894318897,4,5,9,high
36,Other,8.14,2,13,37,88,8.997915679251665,1,8,1,low
42,Other,4.62,1,31,32,25,6.252280320855155,9,9,2,medium
23,Other,4.82,3,75,47,1,11.056683830972547,5,8,6,high
59,Male,5.22,5,32,68,79,6.311502804573736,5,2,6,medium
59,Other,7.21,10,26,282,61,7.775503428451669,7,8,7,low
47,Female,4.73,8,50,291,54,4.488908609026755,8,4,9,medium
34,Other,9.32,9,69,226,179,8.053694111462386,4,8,4,high
18,Male,5.3,7,50,112,151,11.791601661262089,10,10,7,medium
52,Male,6.24,3,57,293,153,10.282357333781386,9,9,6,medium
35,Other,9.13,4,42,50,4,4.5374815721912105,7,10,8,medium
21,Other,6.44,10,10,72,10,7.809862508137299,6,10,10,low
38,Male,8.62,6,86,111,16,5.259623657518773,6,3,4,high
23,Male,5.84,2,7,63,41,8.475216927185926,9,5,9,low
38,Male,7.66,7,65,142,71,11.803187820841806,9,10,8,high
52,Female,9.34,9,37,234,95,4.879055757881608,10,7,4,medium
47,Male,8.8,6,80,216,23,4.3658129180981815,1,2,10,high
20,Female,9.32,4,37,69,51,5.318182415295087,10,4,10,medium
35,Other,5.5,8,85,213,149,7.120905707471465,1,3,10,high
59,Male,4.76,6,6,39,167,4.161995038320737,3,3,9,low
49,Other,5.44,6,34,29,178,9.455979578245868,10,10,6,medium
49,Male,5.86,6,65,202,10,5.412433537942724,8,3,5,high
19,Male,9.4,4,74,200,33,5.566270454883239,5,1,4,high
26,Female,8.01,4,38,150,40,9.07584058538784,3,7,6,medium
54,Male,9.07,3,61,93,84,4.328794522824145,9,2,3,high
53,Male,6.37,6,54,109,148,11.499737502509957,2,9,10,medium
22,Male,6.01,2,15,52,127,7.068015048927257,6,1,8,low
35,Male,8.25,4,73,64,129,9.325318679541294,3,1,8,high
55,Other,4.67,1,81,45,170,7.12231280671467,1,2,6,high
50,Male,6.39,1,61,153,36,5.6155269160958605,1,5,9,high
30,Other,7.5,5,58,183,179,5.644307765563892,4,9,10,medium
59,Other,6.88,5,53,183,93,11.791526133334257,4,7,10,medium
37,Female,6.77,3,76,17,21,7.969881390959609,6,9,10,high
50,Female,9.34,4,31,30,126,6.062381297313007,1,4,2,medium
53,Male,4.82,1,43,56,8,10.264539761272127,2,9,8,medium
39,Other,6.47,4,73,201,89,9.540619035175244,8,6,4,high
49,Other,5.29,4,68,298,16,9.398371436812448,8,10,4,high
20,Male,5.62,8,71,270,82,10.531584336612571,7,8,7,high
23,Female,8.72,1,50,186,133,6.979389569400056,3,6,4,medium
27,Female,9.33,4,58,11,115,6.41799515930558,5,8,7,medium
48,Male,6.66,3,84,71,13,7.940877430822613,2,6,4,high
21,Other,6.25,2,38,299,117,7.522503806015245,2,3,7,medium
23,Female,5.11,8,84,108,42,6.196574005197932,6,6,3,high
58,Other,6.55,10,29,299,70,7.777573622064971,7,6,7,low
47,Female,4.77,5,49,296,93,5.278284496908563,9,9,10,medium
59,Male,7.64,3,76,95,105,8.077781644531848,6,1,2,high
57,Female,5.99,6,45,169,133,5.770948475935628,9,2,5,medium
39,Other,5.62,1,64,225,163,7.489658371858957,7,6,1,high
44,Male,7.54,8,18,121,160,7.2239980724288175,6,6,3,low
42,Male,5.44,10,38,279,165,7.746443899029074,1,9,4,medium
33,Male,7.99,4,24,30,84,10.5181494507762,3,3,3,low
58,Male,8.82,4,82,56,65,8.848995111063822,10,3,4,high
18,Female,8.8,9,63,91,149,7.946348644501539,1,9,6,high
29,Male,8.96,8,20,65,135,8.091542671340985,10,9,4,low
53,Other,8.32,2,50,237,55,5.835349412125707,2,2,2,medium
29,Other,9.5,7,33,97,143,4.230918715664246,7,1,4,medium
24,Female,6.47,4,10,191,80,9.740294908101015,10,3,8,low
19,Other,5.95,9,2,18,105,11.36611851297856,10,2,8,low
51,Female,9.14,7,67,114,160,9.53660073526568,6,4,2,high
43,Male,5.42,6,37,24,97,8.044329198186327,9,4,6,medium
30,Female,7.19,2,86,106,140,10.319461768447042,6,7,9,high
59,Male,5.41,6,69,242,42,7.786833434662409,7,8,5,high
58,Other,9.11,5,16,85,38,10.034874034849004,2,2,10,low
36,Female,8.05,9,9,283,33,11.8299833169239,3,10,8,low
20,Other,5.39,2,45,69,30,5.302023089713311,6,3,1,medium
53,Male,4.97,7,9,255,38,4.614133897159846,2,9,6,low
18,Male,6.94,9,44,155,96,5.392408890920278,8,2,6,medium
23,Male,7.42,1,82,16,53,4.4979498092702475,3,1,6,high
29,Female,6.64,8,27,265,51,4.5420582622288155,10,4,6,low
26,Other,7.86,9,1,194,116,10.803618186898069,5,10,7,low
47,Male,4.59,8,47,129,13,11.139460306617313,3,1,1,medium
42,Female,6.66,8,62,48,55,10.505209607900085,7,7,5,high
40,Other,4.58,2,50,127,57,7.111667885023499,1,7,7,medium
20,Male,7.77,10,25,251,73,8.890824246201134,10,6,1,low
25,Other,7.6,5,27,76,156,6.938351580921345,2,2,9,low
52,Other,8.6,4,23,159,90,4.313574683645944,10,2,7,low
52,Other,8.17,1,9,81,135,5.3358230578320835,3,4,8,low
19,Other,5.32,7,87,123,72,5.977415752084849,2,5,2,high
39,Female,6.9,9,64,246,111,10.560512956346964,9,5,7,high
24,Male,7.12,1,33,235,34,5.616674519819511,7,5,4,medium
52,Male,6.05,8,21,31,94,7.787502942706196,5,3,6,low
44,Male,6.23,10,83,123,33,10.805845476688296,5,2,10,high
24,Male,7.24,5,27,43,79,8.288450834616699,7,4,2,low
23,Male,8.97,4,30,289,168,6.4032788702943755,9,3,9,low
56,Female,6.1,4,3,118,154,6.283661762297206,1,2,4,low
50,Female,8.51,5,46,39,121,10.679473188211276,9,1,6,medium
44,Female,7.44,10,68,70,149,5.722150192262879,5,6,4,high
50,Male,7.13,2,40,263,159,11.442455303895104,9,4,9,medium
42,Female,4.89,8,43,189,120,4.192301573331271,10,9,9,medium
51,Other,7.58,9,75,132,75,6.991762074218661,4,5,1,high
59,Male,8.16,4,63,27,76,4.3561508112928,5,3,3,high
40,Female,7,2,16,119,108,9.06168247972954,4,7,3,low
37,Female,8.23,3,23,209,170,9.20774857525976,4,10,10,low
52,Other,7.14,6,51,128,179,7.874945210741264,2,3,7,medium
53,Other,5.61,7,83,149,104,6.343908298100851,5,5,6,high
52,Female,7.68,5,2,176,101,4.290185877519925,6,3,4,low
25,Male,7.58,7,16,217,83,4.31656769449083,2,9,8,low
55,Other,5.85,10,42,182,133,7.204887390378748,2,3,3,medium
55,Female,7.9,7,53,133,162,6.4481219297164305,9,6,2,medium
41,Male,5.96,5,57,62,15,4.825598495246688,10,4,2,medium
30,Female,6.41,3,85,166,128,8.116017318856736,5,1,4,high
30,Female,7.61,7,50,258,177,5.059991650130293,4,10,3,medium
47,Female,7.31,10,61,74,78,11.225220089618348,8,1,1,high
40,Other,7.13,9,29,265,98,8.848714724452293,3,7,5,low
39,Female,7.03,5,2,168,7,9.052622724168394,2,1,4,low
40,Male,5.96,1,21,115,90,7.393897962362187,8,3,4,low
56,Other,7.08,7,56,297,8,7.037232126949386,8,9,7,medium
37,Female,6.67,7,39,221,71,7.574249304251024,10,2,2,medium
22,Other,4.68,10,80,204,112,7.466555921863175,1,10,10,high
27,Other,6.48,5,6,43,75,8.047410035937364,1,7,9,low
24,Other,5.23,5,62,97,7,10.927727628006563,7,6,1,high
57,Other,8.17,4,22,143,100,11.241070998753486,6,5,1,low
42,Other,7.59,6,68,240,49,7.55468133666376,9,4,9,high
27,Female,7.2,4,80,12,133,6.239436973251547,1,5,6,high
34,Other,4.72,1,33,292,41,5.9889129521739175,10,1,10,medium
18,Male,4.96,2,15,85,41,5.162208935630436,5,1,3,low
24,Male,8.27,2,84,195,59,5.189503157616506,6,1,2,high
42,Female,4.83,3,87,169,62,4.517633574718809,3,9,10,high
22,Other,5.65,9,18,175,119,8.280233702150271,4,2,10,low
29,Other,6.09,6,77,8,107,4.562644736699512,3,7,7,high
44,Other,8.53,3,31,125,146,11.472614794171877,8,1,8,medium
29,Male,6.09,4,22,32,23,11.859918654352494,4,1,8,low
27,Male,6.46,10,59,50,120,6.876611209993995,9,4,4,medium
28,Male,9.43,6,60,173,79,7.107709140887972,9,3,8,medium
19,Male,6.16,6,46,2,142,9.600272327718844,2,2,1,medium
21,Female,4.94,6,51,209,15,5.114446933382063,4,3,6,medium
40,Other,8.6,1,57,184,134,8.751009802921768,10,8,8,medium
51,Female,7.65,5,4,243,29,8.88155865318904,2,5,3,low
31,Female,6.55,2,70,174,59,8.438737522972865,1,2,5,high
21,Male,6.84,1,61,280,32,11.616812285683377,9,5,6,high
55,Female,4.85,1,4,70,175,4.862589390815576,6,2,10,low
28,Female,8.65,6,50,147,56,10.876476261227722,8,3,4,medium
26,Other,8.4,3,23,131,136,8.650261855688477,4,3,3,low
31,Female,4.84,8,81,212,142,6.568158484407197,6,4,7,high
44,Male,5.86,9,43,72,4,10.259515275991,4,10,4,medium
39,Female,5.35,8,80,60,17,10.280784071608204,9,9,9,high
29,Other,4.73,8,66,240,88,6.951314986828961,1,3,6,high
59,Female,7.54,10,5,38,10,7.7446529686807875,7,4,10,low
46,Male,6.78,2,18,137,45,10.581227672402951,6,5,5,low
44,Female,6.01,9,17,288,160,8.582212132775947,9,6,6,low
35,Female,6.74,7,88,206,152,5.016954334856388,4,1,9,high
42,Male,8.55,5,64,79,91,8.71938542619052,3,2,6,high
22,Female,7.46,4,51,191,115,10.82325670180332,8,10,9,medium
55,Female,5.12,1,52,231,11,8.12475044203482,4,10,6,medium
48,Other,8.18,5,0,206,134,9.875939204888407,9,3,10,low
53,Other,8.9,8,89,155,59,5.493554379691297,7,5,7,high
50,Male,5.29,5,46,160,66,10.044617562270984,9,7,6,medium
37,Female,7.98,1,72,45,155,9.793646581567591,5,5,6,high
26,Other,5.1,4,12,267,163,8.762486014747601,8,3,8,low
44,Male,8.64,3,46,243,148,8.446369929154383,8,6,9,medium
52,Female,8.62,8,46,42,147,5.780429677821368,7,6,5,medium
57,Female,5.34,5,74,169,174,5.406180080379686,2,6,2,high
27,Male,5.84,1,87,260,178,8.85556330270563,1,1,4,high
20,Male,7.26,7,50,117,35,5.412987408196732,2,5,8,medium
57,Male,6.64,6,79,56,149,5.7512493007305325,2,2,2,high
46,Other,6.27,8,55,15,85,10.471883205369508,4,8,8,medium
39,Female,5.33,3,75,18,179,11.095890348054866,5,3,10,high
24,Male,5.01,6,34,252,19,7.929225394483604,5,8,8,medium
48,Other,5.32,6,31,219,138,10.246606667287423,9,8,8,medium
50,Other,6.47,10,51,50,172,11.225653343326314,6,2,5,medium
42,Female,5.1,5,85,70,12,8.878493263829613,7,5,6,high
45,Other,8.91,8,78,104,34,8.485976622990119,1,3,3,high
40,Other,8.77,10,7,153,161,5.039142610390043,8,3,1,low
37,Female,7.72,10,68,10,165,10.05728664363873,3,7,1,high
19,Female,7.16,2,67,259,56,9.628951952173502,5,7,4,high
24,Male,6.84,7,24,232,89,11.62657728373085,5,10,3,low
52,Male,5.28,9,32,34,49,4.359947708959537,2,8,3,medium
42,Other,5.35,5,32,110,120,10.96736528679919,10,2,4,medium
57,Male,8.61,8,20,126,28,8.441905839247987,7,1,8,low
22,Female,6.49,8,61,74,173,8.039025296178671,5,4,1,high
24,Male,8.98,9,58,154,82,6.182627079314384,5,7,3,medium
38,Female,7.88,4,40,59,147,11.602596311738186,7,4,8,medium
41,Male,6.29,3,61,249,103,4.6790139585291515,4,4,4,high
47,Other,7.84,6,66,92,7,7.308134835028791,10,5,4,high
29,Male,8.47,4,0,192,21,11.507731700942106,4,3,9,low
51,Male,9.23,1,49,94,62,11.476249212728414,4,3,8,medium
38,Male,7.37,8,43,140,131,8.376313148965249,1,5,5,medium
58,Male,7.4,4,78,108,59,10.484659470484328,5,2,8,high
40,Female,8.76,2,82,47,61,5.983175782007005,6,7,6,high
58,Female,7.7,2,86,229,22,5.453145892461729,9,7,2,high
22,Female,8.44,3,64,62,71,9.990186574574462,2,8,8,high
55,Male,4.76,9,55,15,139,9.036472447961172,3,8,5,medium
